topic,category
Northern Transportation Company financial and operational inquiry,Transportation and Communications
Canadian Commercial Corporation procurement contracts,Veterans' and Military Affairs
irregular government payments and accounting practices,Public Finance and Taxation
Canadian Commercial Corporation construction oversight,Veterans' and Military Affairs
government misuse of parliamentary procedure,Government and Parliamentary Affairs
royal commission on prices expenditures,Government and Parliamentary Affairs
financing of government strategic stockpiles,Public Finance and Taxation
confidentiality of Prairie Farm Assistance Act payments,Agriculture and Food Policy
auditor general's criticism of government contracts,Public Finance and Taxation
annual per capita income and tax statistics,Public Finance and Taxation
Trans-Canada Air Lines fare increase and tax suspension,Transportation and Communications
appointments of York county court judges,"Justice, Constitution, and Indigenous Affairs"
Foreign Exchange Control Board residency regulations,Banking and Monetary Policy
extension of wartime orders in council,Veterans' and Military Affairs
Canadian Commercial Corporation aircraft procurement contracts,Veterans' and Military Affairs
maritime rural housing research program,Social Welfare and Labour
extension of Canadian Commercial Corporation mandate,Veterans' and Military Affairs
use of Canadian Commercial Corporation for surplus agricultural exports,Agriculture and Food Policy
parliamentary time limits and debate procedures,Government and Parliamentary Affairs
government spending and pension inequities,Public Finance and Taxation
National Physical Fitness Act grant expenditures,Social Welfare and Labour
Canadian military personnel recruitment and discharge statistics,Veterans' and Military Affairs
Wartime Prices and Trade Board nail prosecution,International Trade and Tariffs
anniversary of responsible government in Nova Scotia,Government and Parliamentary Affairs
St. Andrew's lock opening during Red River flooding,Transportation and Communications
official adoption of O Canada as national anthem,Government and Parliamentary Affairs
provisions for old-age retirement benefits,Social Welfare and Labour
Canadian merchant fleet and shipping policy,Transportation and Communications
North Atlantic pact and British Commonwealth relations,Veterans' and Military Affairs
national pride and Canadian natural resources,Natural Resources and Intergovernmental Relations
national unity and canadian citizenship,"Justice, Constitution, and Indigenous Affairs"
adoption of O Canada as national anthem,Government and Parliamentary Affairs
old-age pension reform and family allowances,Social Welfare and Labour
permits for visiting overseas war graves,Veterans' and Military Affairs
national unity and international recognition,"Justice, Constitution, and Indigenous Affairs"
maintenance of ties with the British Commonwealth,"Justice, Constitution, and Indigenous Affairs"
deportation of canadian citizens from the United States,"Justice, Constitution, and Indigenous Affairs"
government agricultural controls and taxation forms,Agriculture and Food Policy
deportation of Canadians from the United States,"Justice, Constitution, and Indigenous Affairs"
retroactive tax reductions in the federal budget,Public Finance and Taxation
income tax deductions for farm children's wages,Public Finance and Taxation
1949 federal budget provisions,Public Finance and Taxation
government tax reduction and election spending policies,Public Finance and Taxation
discovery of Schoepp Imperial No. 1 oil well,Natural Resources and Intergovernmental Relations
criticism of the 1949 federal budget,Public Finance and Taxation
tax deductions for wages paid to children,Public Finance and Taxation
1949 federal budget proposals,Public Finance and Taxation
rye production and wheat marketing pools,Agriculture and Food Policy
geopolitical threat of the Soviet Union,Veterans' and Military Affairs
Newfoundland entry into Confederation ceremony,Natural Resources and Intergovernmental Relations
relocation of Trans-Canada Air Lines headquarters,Transportation and Communications
fish meal production and supply levels,Natural Resources and Intergovernmental Relations
Canadian grain and livestock price disparities,Agriculture and Food Policy
federal budget and removal of food subsidies,Public Finance and Taxation
critique of political parties and socialism,Government and Parliamentary Affairs
federal income and sales tax reform,Public Finance and Taxation
government fiscal policy and taxation levels,Public Finance and Taxation
impact of federal commodity taxes on low-income taxpayers,Public Finance and Taxation
1949 federal budget and fiscal policy,Public Finance and Taxation
role of agricultural cooperatives in capitalism,Agriculture and Food Policy
canada's foreign trade policy,International Trade and Tariffs
impact of federal budget on farmers,Public Finance and Taxation
Camp Hill hospital annex construction contract,Veterans' and Military Affairs
impact of United States wheat surplus on British contracts,International Trade and Tariffs
modifications to the integrated housing plan,Social Welfare and Labour
critique of opposition political rhetoric,Government and Parliamentary Affairs
importation of British goods into Canada,International Trade and Tariffs
fiscal policy and government expenditure demands,Public Finance and Taxation
Liberal party leadership and electoral politics,Government and Parliamentary Affairs
income tax exemptions and social welfare policies,Public Finance and Taxation
national health program,Social Welfare and Labour
dominion national health program funding,Public Finance and Taxation
national health program funding distribution,Public Finance and Taxation
formation of the Canadian arthritis and rheumatism society,Social Welfare and Labour
federal national health grants to provinces,Natural Resources and Intergovernmental Relations
veterans' housing construction programs,Veterans' and Military Affairs
national unity and anti-communism,Government and Parliamentary Affairs
public works programs and employment stabilization,Social Welfare and Labour
clarification of political allegations regarding communism,Government and Parliamentary Affairs
sale of Canadian merchant ships to foreign flags,Transportation and Communications
federal taxation and social security policy,Public Finance and Taxation
working conditions for canadian seafarers,Social Welfare and Labour
corporate wage bonuses and profit margins,Social Welfare and Labour
government employment and reconstruction policy,Social Welfare and Labour
government expenditure and national debt management,Public Finance and Taxation
parliamentary leadership and party politics,Government and Parliamentary Affairs
Vancouver waterfront safety regulations and industrial development,Social Welfare and Labour
export of Canadian apples to Great Britain,International Trade and Tariffs
federal housing policy and public works planning,Social Welfare and Labour
provincial rights,Natural Resources and Intergovernmental Relations
government support for gold mining,Natural Resources and Intergovernmental Relations
western wheat marketing and pricing policy,Agriculture and Food Policy
irrigation and reclamation projects in British Columbia,Natural Resources and Intergovernmental Relations
Veterans Land Act structural defect repair costs,Veterans' and Military Affairs
distribution of oats and barley equalization funds,Agriculture and Food Policy
criticism of the Liberal party,Government and Parliamentary Affairs
national health and hospital construction,Social Welfare and Labour
Canada-Britain wheat agreement termination concerns,International Trade and Tariffs
Trans-Canada Highway route designation,Transportation and Communications
potato price support programs,Agriculture and Food Policy
government response to communist activities,Government and Parliamentary Affairs
wage increases for non-civil service postal employees,Social Welfare and Labour
public investment policy for employment maintenance,Social Welfare and Labour
Canadian wheat board sales and pricing statistics,Agriculture and Food Policy
orders in council regarding illegal immigration status,"Justice, Constitution, and Indigenous Affairs"
veteran disability pensions and allowances statistics,Veterans' and Military Affairs
federal hospital construction grants for Quebec,Natural Resources and Intergovernmental Relations
HMCS Athabaskan crew incident,Veterans' and Military Affairs
CBC Toronto property purchase and renovation costs,Transportation and Communications
lifting of import restrictions on cabbage,International Trade and Tariffs
Wartime Prices and Trade Board prosecutions in Chicoutimi,Public Finance and Taxation
War Assets Corporation operations and employment,Veterans' and Military Affairs
historical interpretation of Confederation negotiations,"Justice, Constitution, and Indigenous Affairs"
deferred construction of Whitehorse federal building,Public Finance and Taxation
parliamentary return of orders in council,Government and Parliamentary Affairs
Canadian wheat and agricultural commodity exports,International Trade and Tariffs
government public works and unemployment relief,Social Welfare and Labour
protection of Canadian workers from immigrant displacement,Social Welfare and Labour
continuation of freight subsidies on coarse grains,Agriculture and Food Policy
Churchill school grant in lieu of taxes,Government and Parliamentary Affairs
suspension of notice requirements for pipeline bills,Transportation and Communications
parliamentary sitting hours and interim supply,Government and Parliamentary Affairs
parliamentary criticism of government budget estimates,Public Finance and Taxation
department of national revenue expenditure survey forms,Public Finance and Taxation
proposed pipe line legislation and old age pensions,Social Welfare and Labour
safety of Canadian nationals in China,"Justice, Constitution, and Indigenous Affairs"
freight rate concessions for livestock,Agriculture and Food Policy
regulation of interprovincial oil and gas pipelines,Natural Resources and Intergovernmental Relations
national health grants and british bacon contracts,Social Welfare and Labour
Canadian Seamen's Union shipping dispute,Social Welfare and Labour
legislative scheduling of pensions and pipelines,Government and Parliamentary Affairs
deep-sea shipping labour disputes,Social Welfare and Labour
bacon export agreements with the United Kingdom,International Trade and Tariffs
rising rate of commercial business failures,Banking and Monetary Policy
implementation of old age pension increases,Social Welfare and Labour
increase of old-age and blind pensions,Social Welfare and Labour
increase of federal old age pensions,Social Welfare and Labour
labour regulation on interprovincial railways,Social Welfare and Labour
evacuation of Canadian nationals from China,"Justice, Constitution, and Indigenous Affairs"
federal vs provincial jurisdiction over natural resources,Natural Resources and Intergovernmental Relations
provincial jurisdiction over oil and gas pipelines,Natural Resources and Intergovernmental Relations
federal jurisdiction over railway labour regulations,Social Welfare and Labour
regulation of interprovincial gas exportation,Natural Resources and Intergovernmental Relations
railway freight rates for cattle,Agriculture and Food Policy
parliamentary session extension and government policy priorities,Government and Parliamentary Affairs
provincial jurisdiction over natural resources and exports,Natural Resources and Intergovernmental Relations
federal regulation of interprovincial oil pipelines,Natural Resources and Intergovernmental Relations
regulation and conservation of natural gas export,Natural Resources and Intergovernmental Relations
parliamentary scheduling of the old age pensions bill,Government and Parliamentary Affairs
mandatory common carrier status for pipe lines,Transportation and Communications
increase in federal old age pensions,Social Welfare and Labour
federal jurisdiction over interprovincial gas pipelines,Natural Resources and Intergovernmental Relations
interprovincial natural gas export regulation,Natural Resources and Intergovernmental Relations
constitutional validity of pipeline legislation amendments,"Justice, Constitution, and Indigenous Affairs"
public ownership of electrical utility services,Natural Resources and Intergovernmental Relations
utilization of railway rights-of-way for pipelines,Transportation and Communications
jurisdiction over interprovincial pipeline expropriation rights,Natural Resources and Intergovernmental Relations
India's continued membership in the Commonwealth,"Justice, Constitution, and Indigenous Affairs"
India's membership in the Commonwealth,"Justice, Constitution, and Indigenous Affairs"
regulation of interprovincial natural gas exports,Natural Resources and Intergovernmental Relations
regulation of natural gas exports,Natural Resources and Intergovernmental Relations
alleged inaccuracy in newspaper reporting,Government and Parliamentary Affairs
India's continued membership in the British commonwealth,"Justice, Constitution, and Indigenous Affairs"
government purchase of surplus creamery butter,Agriculture and Food Policy
government delay in answering parliamentary questions,Government and Parliamentary Affairs
safety and evacuation of Canadians in China,"Justice, Constitution, and Indigenous Affairs"
national health grant expenditures,Social Welfare and Labour
parliamentary control over interim supply,Public Finance and Taxation
Liberal party election campaign rhetoric,Government and Parliamentary Affairs
foreign exchange control board budget reduction,Banking and Monetary Policy
government legal fee expenditures,Public Finance and Taxation
social credit economic policy,Banking and Monetary Policy
parliamentary review of government expenditures,Public Finance and Taxation
parliamentary criticism of government expenditure requests,Public Finance and Taxation
absence of cabinet ministers during parliamentary debates,Government and Parliamentary Affairs
rent increases on decontrolled properties,Social Welfare and Labour
government interim supply expenditures,Public Finance and Taxation
government support for canadian agriculture,Agriculture and Food Policy
interim supply procedure,Government and Parliamentary Affairs
parliamentary review of government expenditure estimates,Public Finance and Taxation
federal funding for highway construction,Transportation and Communications
monetary reform and financial system control,Banking and Monetary Policy
government expenditure and federal fiscal policy,Public Finance and Taxation
housing for armed forces personnel in Picton,Veterans' and Military Affairs
partisan political campaigning,Government and Parliamentary Affairs
critique of economic liberalism and communism,Government and Parliamentary Affairs
interest payments to chartered banks,Banking and Monetary Policy
legislative priorities for the current session,Government and Parliamentary Affairs
loss of agricultural markets overseas,Agriculture and Food Policy
Canadian trade policy and economic concerns,International Trade and Tariffs
partisan political history and election prospects,Government and Parliamentary Affairs
critique of national debt and social welfare,Public Finance and Taxation
Department of National Defence procurement policies,Veterans' and Military Affairs
tax deductibility of chamber of commerce dues,Public Finance and Taxation
Canadian National Railways pension administration issues,Transportation and Communications
merchant navy veterans benefits,Veterans' and Military Affairs
misquotation of trade and commerce minister,Government and Parliamentary Affairs
Canadian railroad workers' retirement legislation,Social Welfare and Labour
interim supply bill before dissolution of parliament,Government and Parliamentary Affairs
criticism of government accountability,Government and Parliamentary Affairs
production of documents regarding nazi collaborators,"Justice, Constitution, and Indigenous Affairs"
parliamentary scrutiny of government expenditure,Public Finance and Taxation
public accounts committee recommendations regarding financial legislation,Public Finance and Taxation
government legal fees and social welfare programs,Public Finance and Taxation
universal old age pension eligibility,Social Welfare and Labour
member's political party designation,Government and Parliamentary Affairs
income tax deductibility of law society fees,Public Finance and Taxation
Canadian trade policy and wheat agreements,International Trade and Tariffs
Brandon Wheat Kings junior hockey championship performance,Government and Parliamentary Affairs
parliamentary pension schemes and canadian trade policy,International Trade and Tariffs
petition for increased old-age pensions,Social Welfare and Labour
interim supply voting,Government and Parliamentary Affairs
parliamentary superannuation and budget scrutiny,Public Finance and Taxation
government expenditure and fiscal responsibility,Public Finance and Taxation
wartime prices and trade board rental regulations,Social Welfare and Labour
Jacques Greber's National Capital Plan report,Government and Parliamentary Affairs
Trans-Canada Air Lines pilot insurance coverage,Transportation and Communications
political party realignment and electoral prospects,Government and Parliamentary Affairs
political posturing regarding parliamentary motions,Government and Parliamentary Affairs
government-owned enterprises in Saskatchewan,Natural Resources and Intergovernmental Relations
family allowance eligibility residence requirements,Social Welfare and Labour
Saskatchewan industrial development projects,Natural Resources and Intergovernmental Relations
scheduling of a federal general election,Government and Parliamentary Affairs
federal budget and tax reductions,Public Finance and Taxation
critique of taxation and cost of living,Public Finance and Taxation
national debt reduction and fiscal accounting,Public Finance and Taxation
upcoming federal election announcement,Government and Parliamentary Affairs
family allowances legislation eligibility,Social Welfare and Labour
political history of family allowances support,Social Welfare and Labour
decline of Canadian agricultural trade markets,International Trade and Tariffs
administration of family allowances legislation,Social Welfare and Labour
institutionalization of veteran Stuart Brown,Veterans' and Military Affairs
family allowance act amendments,Social Welfare and Labour
Globe Printing Company legislative expansion,Government and Parliamentary Affairs
financing of social security programs,Public Finance and Taxation
Globe Printing Company incorporation bill,Government and Parliamentary Affairs
analysis of agricultural gross income statistics,Agriculture and Food Policy
Saskatchewan power commission management and profitability,Natural Resources and Intergovernmental Relations
Family Allowances Act eligibility requirements,Social Welfare and Labour
parliamentary procedure for family allowances legislation,Government and Parliamentary Affairs
family allowances act eligibility amendments,Social Welfare and Labour
federal budget speech response,Public Finance and Taxation
social credit monetary policy for family allowances,Banking and Monetary Policy
eligibility of immigrants for family allowances,Social Welfare and Labour
critique of capitalist economic policy,Banking and Monetary Policy
Saskatchewan power commission expansion,Natural Resources and Intergovernmental Relations
Saskatchewan provincial crown corporation financial performance,Natural Resources and Intergovernmental Relations
upcoming federal election campaign,Government and Parliamentary Affairs
reimbursement of the Canadian Wheat Board,Agriculture and Food Policy
tribute to James Angus MacKinnon,Government and Parliamentary Affairs
family allowances legislation amendment,Social Welfare and Labour
national economic policy and austerity measures,Public Finance and Taxation
public ownership of provincial crown corporations,Natural Resources and Intergovernmental Relations
rising unemployment in Nova Scotia,Social Welfare and Labour
federal capital budget and public works planning,Public Finance and Taxation
statutory holiday observance on Mondays,Government and Parliamentary Affairs
parliamentary scheduling and government legislative tactics,Government and Parliamentary Affairs
parliamentary dissolution and legislative priorities,Government and Parliamentary Affairs
economic policy and commercial failures,Public Finance and Taxation
parliamentary scrutiny of budget estimates,Public Finance and Taxation
parliamentary committee oversight and interim supply,Public Finance and Taxation
monopoly control of Canadian industry,Public Finance and Taxation
parliamentary legislative priorities,Government and Parliamentary Affairs
performance of provincial crown corporations,Natural Resources and Intergovernmental Relations
parliamentary time allocation and general election timing,Government and Parliamentary Affairs
provincial commercial failure statistics,Public Finance and Taxation
Nova Scotia coal and steel industry development,Natural Resources and Intergovernmental Relations
parliamentary control over public spending,Public Finance and Taxation
Trans-Canada Air Lines headquarters relocation from Winnipeg,Transportation and Communications
bilateral trade agreements with Great Britain,International Trade and Tariffs
federal subsidy for grasshopper control chemicals,Agriculture and Food Policy
procedural application of standing order 28,Government and Parliamentary Affairs
housing project for Picton artillery school personnel,Veterans' and Military Affairs
Trans-Canada Air Lines headquarters relocation,Transportation and Communications
parliamentary dissolution and interim supply,Government and Parliamentary Affairs
interim supply voting procedure,Government and Parliamentary Affairs
loss of United Kingdom agricultural export markets,Agriculture and Food Policy
bacon export agreements with United Kingdom,International Trade and Tariffs
interim supply for fiscal year 1950,Public Finance and Taxation
parliamentary debate on interim supply commitments,Government and Parliamentary Affairs
opposition to socialist oil industry nationalization,Natural Resources and Intergovernmental Relations
government supply motion procedure,Government and Parliamentary Affairs
Walter Oliver Beyer patent application reinstatement,"Justice, Constitution, and Indigenous Affairs"
socialization of the oil industry,Natural Resources and Intergovernmental Relations
nationalization of the Interprovincial Pipe Line Company,Natural Resources and Intergovernmental Relations
withdrawal of Official Secrets Act charges against Freda Linton,"Justice, Constitution, and Indigenous Affairs"
1949 International Wheat Agreement ratification,International Trade and Tariffs
provincial jurisdiction over natural resources and pipelines,Natural Resources and Intergovernmental Relations
foreign control of Canadian natural resources,Natural Resources and Intergovernmental Relations
Globe Printing Company capital valuation increase,Public Finance and Taxation
International Wheat Agreement pricing terms,International Trade and Tariffs
public ownership of oil pipelines,Natural Resources and Intergovernmental Relations
International Wheat Agreement terms and pricing,International Trade and Tariffs
safety and mechanical issues of aircraft,Transportation and Communications
Interprovincial Pipe Line Company incorporation bill,Natural Resources and Intergovernmental Relations
incorporation of western natural gas pipelines,Natural Resources and Intergovernmental Relations
Soviet history and Western civilization,"Justice, Constitution, and Indigenous Affairs"
Interprovincial Pipe Line Company incorporation,Natural Resources and Intergovernmental Relations
western Canadian wheat price subsidies,Agriculture and Food Policy
parliamentary supply and election procedures,Government and Parliamentary Affairs
adjustment of soldier settlement contracts,Veterans' and Military Affairs
adjournment of the house proceedings,Government and Parliamentary Affairs
ratification of the North Atlantic pact,Veterans' and Military Affairs
legislative authority over Canadian National Railways operations,Transportation and Communications
parliamentary schedule and interim supply,Government and Parliamentary Affairs
North Atlantic Treaty and international relations,Veterans' and Military Affairs
Interprovincial Pipe Line Company legislation,Natural Resources and Intergovernmental Relations
supplementary budget estimates for Newfoundland,Public Finance and Taxation
Portugal's democratic rights under the North Atlantic Treaty,Veterans' and Military Affairs
Collin's Bay penitentiary disturbance,"Justice, Constitution, and Indigenous Affairs"
incorporation of oil and gas pipeline companies,Natural Resources and Intergovernmental Relations
domestic wheat price subsidies,Agriculture and Food Policy
dissolution of parliament and general election scheduling,Government and Parliamentary Affairs
unpaid wages at Port Nelson salvage project,Social Welfare and Labour
R.C.A.F. aircraft engine performance,Veterans' and Military Affairs
Central Mortgage and Housing Corporation integrated housing litigation,"Justice, Constitution, and Indigenous Affairs"
interim supply bill parliamentary debate,Government and Parliamentary Affairs
North Atlantic Treaty approval,Veterans' and Military Affairs
Newfoundland old age pension payments,Social Welfare and Labour
British Commonwealth scientific office funding,Government and Parliamentary Affairs
interim supply for Newfoundland provincial integration,Natural Resources and Intergovernmental Relations
federal assistance for Saskatchewan grasshopper infestation,Agriculture and Food Policy
prime ministerial attendance at international conferences,Government and Parliamentary Affairs
"agricultural economy, taxation, and old-age pensions",Social Welfare and Labour
interim supply for Newfoundland and public services,Natural Resources and Intergovernmental Relations
Newfoundland old age pensions participation,Social Welfare and Labour
Newfoundland family allowances and social services,Social Welfare and Labour
veterinary inspection of cattle for tuberculosis,Agriculture and Food Policy
federal funding for urban traffic projects,Transportation and Communications
Prairie Farm Rehabilitation Act area extension,Agriculture and Food Policy
supplementary departmental budget appropriations,Public Finance and Taxation
government accounting procedures and supplementary estimates,Public Finance and Taxation
fair wage requirements in cold storage construction,Social Welfare and Labour
livestock disease control and area testing,Agriculture and Food Policy
return of documents regarding unemployment insurance commission,Social Welfare and Labour
operational and financial status of Polymer Corporation,Natural Resources and Intergovernmental Relations
agricultural college graduate supply,Agriculture and Food Policy
agricultural tree-removal expenditure for Digby-Annapolis-Kings,Agriculture and Food Policy
administration of the Animal Contagious Diseases Act,Agriculture and Food Policy
maple syrup equipment replacement subsidies,Agriculture and Food Policy
Annapolis Valley agricultural subsidies,Agriculture and Food Policy
Dominion Atlantic Railway Company corporate amendments,Transportation and Communications
nova scotia apple orchard removal program,Agriculture and Food Policy
lead contamination in maple syrup production equipment,Agriculture and Food Policy
liquidation of wartime agricultural equipment assets,Agriculture and Food Policy
federal apple industry price support subsidies,Agriculture and Food Policy
incorporation of the Sisters of Saint Elizabeth Hospital,"Justice, Constitution, and Indigenous Affairs"
federal agricultural cost-sharing for prairie farmers,Agriculture and Food Policy
unauthorized government expenditure of public funds,Public Finance and Taxation
amendment to Bank of Montreal pension fund,Banking and Monetary Policy
suppression of political freedom and communism,"Justice, Constitution, and Indigenous Affairs"
restrictions on communist propaganda and organizations,"Justice, Constitution, and Indigenous Affairs"
civil liberties and sedition legislation,"Justice, Constitution, and Indigenous Affairs"
parliamentary procedure for debating departmental estimates,Government and Parliamentary Affairs
Prairie Farm Rehabilitation Act project financing,Agriculture and Food Policy
expenditures for orchard tree removal,Agriculture and Food Policy
civil liberties and criminal code legislation,"Justice, Constitution, and Indigenous Affairs"
outlawing of political movements,"Justice, Constitution, and Indigenous Affairs"
royal assent to legislation,Government and Parliamentary Affairs
export marketing of surplus honey,Agriculture and Food Policy
government agricultural subsidies for fruit crops,Agriculture and Food Policy
opposition to anti-communist legislation,"Justice, Constitution, and Indigenous Affairs"
government price guarantees for berry production costs,Agriculture and Food Policy
government loan guarantees for berry growers,Agriculture and Food Policy
adjustment of federal civil service pensions,Government and Parliamentary Affairs
supplementary pensions for retired civil servants,Government and Parliamentary Affairs
government guarantee for berry marketing losses,Agriculture and Food Policy
cold storage plant conversion subsidies,Agriculture and Food Policy
parliamentary conduct of the opposition,Government and Parliamentary Affairs
poliomyelitis epidemic among Chesterfield Inlet Eskimos,"Justice, Constitution, and Indigenous Affairs"
preservation of democratic institutions,Government and Parliamentary Affairs
provincial taxation fields and constitutional amendment,Natural Resources and Intergovernmental Relations
construction of a bridge to Morrison's island,Transportation and Communications
social welfare and economic policy,Social Welfare and Labour
political alignment of the Liberal and CCF parties,Government and Parliamentary Affairs
federal funding for national physical fitness programs,Social Welfare and Labour
potato warehouse regulation changes,Agriculture and Food Policy
parliamentary conduct and political partisanship,Government and Parliamentary Affairs
administration of the Royal Canadian Mounted Police,"Justice, Constitution, and Indigenous Affairs"
increase in income tax exemptions,Public Finance and Taxation
congratulations to the mover of the address,Government and Parliamentary Affairs
tourism in Bruce County,Natural Resources and Intergovernmental Relations
evening sitting schedule for house of commons,Government and Parliamentary Affairs
Canadian lumber export statistics,International Trade and Tariffs
tabling and publication of orders in council,Government and Parliamentary Affairs
refutation of false newspaper report,Government and Parliamentary Affairs
National Film Board production and distribution costs,Public Finance and Taxation
personal critique of a member of parliament,Government and Parliamentary Affairs
parliamentary tabling of orders in council,Government and Parliamentary Affairs
"industrial development and constituency interests in Victoria, Ontario",Natural Resources and Intergovernmental Relations
parliamentary oversight of Polymer Corporation operations,Public Finance and Taxation
Fisheries Prices Support Board intervention in Manitoba,Agriculture and Food Policy
disclosure of Polymer Corporation commercial contracts,Public Finance and Taxation
tabling and disclosure of orders in council,Government and Parliamentary Affairs
rural population decline in Bruce County,Natural Resources and Intergovernmental Relations
labour relations and political party competition,Social Welfare and Labour
care for dependents of deceased soldiers,Veterans' and Military Affairs
tourism promotion and industrial decentralization in Bruce county,Natural Resources and Intergovernmental Relations
butter production profit margins and employee bonuses,Agriculture and Food Policy
administration of veterans' pensions and benefits,Veterans' and Military Affairs
parliamentary procedure and conduct of members,Government and Parliamentary Affairs
cabinet ministerial changes and resignation,Government and Parliamentary Affairs
Polymer Corporation labour negotiations disclosure,Social Welfare and Labour
railway smoke and soot abatement regulation,Transportation and Communications
compensation for diseased dairy cattle,Agriculture and Food Policy
tribute to James MacKinnon,Government and Parliamentary Affairs
shortage of wire nails and cement,International Trade and Tariffs
Prime Minister's attendance at commonwealth conference,Government and Parliamentary Affairs
government expenditure authority and governor general's warrants,Public Finance and Taxation
St. Remi street tunnel construction,Transportation and Communications
legal opinion on interim supply,Public Finance and Taxation
Toronto housing project development,Social Welfare and Labour
proposed international human rights treaty,"Justice, Constitution, and Indigenous Affairs"
government expenditures and disposal of Toronto war plants,Public Finance and Taxation
completion of the union of Newfoundland with Canada,"Justice, Constitution, and Indigenous Affairs"
domestic cement supply shortages,International Trade and Tariffs
compensation for bovine tuberculosis reactors,Agriculture and Food Policy
old-age pension payments in Newfoundland,Social Welfare and Labour
Gander airport aviation policy and negotiations,Transportation and Communications
government purchase of strategic tin reserves,Public Finance and Taxation
railway mountain differential and freight rates,Transportation and Communications
lighthouse keepers' salaries and working conditions,Social Welfare and Labour
increase of shipping inspectors at Vancouver port,Transportation and Communications
National Film Board operations in the United States,Government and Parliamentary Affairs
federal government tourism promotion,Government and Parliamentary Affairs
old age pension benefit rates,Social Welfare and Labour
compensation for damaged fishing equipment and harbour navigation hazards,Natural Resources and Intergovernmental Relations
development of the canadian tourist industry,Government and Parliamentary Affairs
government incentive bonuses for industries,Public Finance and Taxation
Prince Edward Island car ferry operating deficit,Transportation and Communications
National Film Board tourist promotion,Government and Parliamentary Affairs
National Film Board international distribution funding,Government and Parliamentary Affairs
parliamentary inquiry into national defence estimates,Veterans' and Military Affairs
payment of municipal taxes on prince rupert properties,Public Finance and Taxation
further supplementary estimates for fiscal year 1949,Public Finance and Taxation
federal funding for blind welfare organizations,Social Welfare and Labour
appointment of consulting engineer for Canso bridge,Transportation and Communications
National Film Board operations and distribution irregularities,Government and Parliamentary Affairs
National Film Board operations and competition,Government and Parliamentary Affairs
report of the royal commission on prices,Public Finance and Taxation
National Film Board expenditures and operational practices,Government and Parliamentary Affairs
increase in old age and blind pensions,Social Welfare and Labour
"Royal Commission on National Development in the Arts, Letters and Sciences",Government and Parliamentary Affairs
old age and blind pensions administration,Social Welfare and Labour
crop damage caused by wild geese,Agriculture and Food Policy
legislative procedure for special bills,Government and Parliamentary Affairs
interprovincial and export agricultural marketing legislation,Agriculture and Food Policy
discrepancies in the ways and means schedule,Public Finance and Taxation
legislative scheduling for the House of Commons,Government and Parliamentary Affairs
parliamentary procedure regarding government expenditure estimates,Government and Parliamentary Affairs
deportation of Canadian citizens from the United States,"Justice, Constitution, and Indigenous Affairs"
increase in basic old age pensions,Social Welfare and Labour
old-age pension policy announcement,Social Welfare and Labour
government purchase of surplus honey,Agriculture and Food Policy
Agricultural Products Marketing Act,Agriculture and Food Policy
interprovincial and export agricultural products marketing,Agriculture and Food Policy
legality of agricultural marketing legislation,Agriculture and Food Policy
federal marketing legislation for potatoes,Agriculture and Food Policy
Agricultural Products Marketing Act legislation,Agriculture and Food Policy
Canadian National Steamships Halifax labour conflict,Social Welfare and Labour
National Capital Plan projects and expenditures,Government and Parliamentary Affairs
legislative regulation of agricultural product marketing,Agriculture and Food Policy
federal assistance for grasshopper control,Agriculture and Food Policy
interprovincial and export potato marketing regulation,Agriculture and Food Policy
orderly marketing of potatoes,Agriculture and Food Policy
administrative numbering of Senate bills,Government and Parliamentary Affairs
central selling agencies for agricultural products,Agriculture and Food Policy
agricultural products marketing act enforcement,Agriculture and Food Policy
reciprocity for merchant seamen's unemployment insurance,Social Welfare and Labour
unemployment insurance act administration,Social Welfare and Labour
unemployment insurance disqualification due to illness,Social Welfare and Labour
construction of Ottawa forest products laboratory buildings,Government and Parliamentary Affairs
contributory social security programs,Social Welfare and Labour
militia pension fund contributions,Veterans' and Military Affairs
seasonal unemployment and welfare responsibilities,Social Welfare and Labour
topographical survey supplementary funding,Public Finance and Taxation
government assistance for herring bait supply,Natural Resources and Intergovernmental Relations
regulation of parliamentary telegram expenses,Government and Parliamentary Affairs
reimbursement of Blackfoot band funds,"Justice, Constitution, and Indigenous Affairs"
disclosure of classified military personnel information,Veterans' and Military Affairs
disclosure of military unit information,Veterans' and Military Affairs
reconstitution of the committee on mines and resources,Government and Parliamentary Affairs
permanent forces pension fund contribution,Veterans' and Military Affairs
investigation of an anonymous threatening letter,Government and Parliamentary Affairs
department of national defence expenditure increases,Veterans' and Military Affairs
indigenous treaty rights and old-age pensions,"Justice, Constitution, and Indigenous Affairs"
sardine and herring industry regulation,Natural Resources and Intergovernmental Relations
establishment of an Indian claims commission,"Justice, Constitution, and Indigenous Affairs"
government accountability and ministerial responsibility,Government and Parliamentary Affairs
proposed revision of the Indian Act,"Justice, Constitution, and Indigenous Affairs"
National Physical Fitness Act agreement with Ontario,Social Welfare and Labour
National Capital Plan land acquisition expenditure,Public Finance and Taxation
ratification of the international wheat agreement,International Trade and Tariffs
critique of socialized medicine,Social Welfare and Labour
cold storage subsidies for apple industry,Agriculture and Food Policy
medical specialization and rural health services,Social Welfare and Labour
national health insurance funding,Social Welfare and Labour
United Kingdom national health insurance scheme,Social Welfare and Labour
promotion of British Columbia apples,Agriculture and Food Policy
